transaction_id,date_key,customer_key,channel_key,city_key,amount,status,processing_time
T2026062700000,20260627,989,3,1,408.33,success,3.64
T2026062700001,20260627,590,1,3,754.32,success,0.97
T2026062700002,20260627,800,1,4,234.97,success,0.77
T2026062700003,20260627,971,4,1,49.75,success,2.24
T2026062700004,20260627,708,4,3,575.78,success,4.75
T2026062700005,20260627,416,2,2,648.65,success,4.79
T2026062700006,20260627,540,3,3,628.12,success,2.84
T2026062700007,20260627,835,2,1,74.47,success,3.9
T2026062700008,20260627,586,2,3,164.82,success,2.06
T2026062700009,20260627,619,2,4,832.61,success,4.42
T2026062700010,20260627,453,2,4,40.22,success,1.65
T2026062700011,20260627,660,1,2,347.53,success,1.03
T2026062700012,20260627,969,2,3,961.41,failed,1.85
T2026062700013,20260627,350,2,3,392.1,success,0.71
T2026062700014,20260627,463,4,1,317.97,success,4.1
T2026062700015,20260627,658,4,3,642.39,success,3.28
T2026062700016,20260627,438,3,3,851.33,success,0.8
T2026062700017,20260627,639,1,1,153.32,success,1.93
T2026062700018,20260627,15,4,1,696.81,success,1.08
T2026062700019,20260627,82,3,2,948.59,success,3.99
T2026062700020,20260627,169,1,3,853.79,success,2.85
T2026062700021,20260627,850,1,4,159.66,success,2.22
T2026062700022,20260627,134,1,4,940.99,success,2.3
T2026062700023,20260627,546,4,2,931.5,success,2.15
T2026062700024,20260627,239,2,2,880.43,success,2.76
T2026062700025,20260627,22,4,3,239.9,success,0.84
T2026062700026,20260627,888,3,4,520.5,success,4.59
T2026062700027,20260627,476,1,1,117.42,success,3.24
T2026062700028,20260627,817,1,1,313.02,success,4.38
T2026062700029,20260627,528,1,2,66.71,success,2.91
T2026062700030,20260627,192,3,4,144.05,success,0.8
T2026062700031,20260627,766,2,1,69.07,success,0.64
T2026062700032,20260627,239,2,2,171.67,success,2.6
T2026062700033,20260627,732,1,1,563.5,success,2.27
T2026062700034,20260627,475,1,4,187.56,success,1.74
T2026062700035,20260627,748,4,2,147.76,success,1.92
T2026062700036,20260627,988,3,4,145.27,failed,2.5
T2026062700037,20260627,737,2,3,146.59,success,3.17
T2026062700038,20260627,1,4,2,820.67,success,3.09
T2026062700039,20260627,702,2,1,177.02,success,4.17
T2026062700040,20260627,381,1,3,576.24,success,3.72
T2026062700041,20260627,367,1,1,999.18,success,2.15
T2026062700042,20260627,590,1,3,897.07,success,3.58
T2026062700043,20260627,19,3,4,129.84,failed,4.47
T2026062700044,20260627,964,4,4,653.7,failed,3.64
T2026062700045,20260627,897,3,1,317.5,success,3.43
T2026062700046,20260627,850,2,4,304.4,success,3.26
T2026062700047,20260627,397,4,3,870.86,success,4.21
T2026062700048,20260627,208,2,1,802.01,success,1.82
T2026062700049,20260627,80,2,1,345.07,success,2.11
T2026062700050,20260627,149,1,1,14.06,success,4.32
T2026062700051,20260627,377,4,4,463.22,success,1.54
T2026062700052,20260627,483,4,2,76.9,failed,4.33
T2026062700053,20260627,122,4,2,661.22,success,3.36
T2026062700054,20260627,666,4,1,42.21,failed,1.37
T2026062700055,20260627,422,2,2,127.93,success,1.28
T2026062700056,20260627,852,1,4,780.39,success,4.87
T2026062700057,20260627,840,2,4,246.41,success,4.4
T2026062700058,20260627,232,1,1,256.01,success,1.96
T2026062700059,20260627,440,2,3,315.09,success,2.67
T2026062700060,20260627,521,3,3,238.26,success,1.63
T2026062700061,20260627,173,1,1,827.14,failed,2.4
T2026062700062,20260627,184,3,3,255.81,failed,3.91
T2026062700063,20260627,108,3,4,466.4,success,2.41
T2026062700064,20260627,934,4,3,718.24,success,1.95
T2026062700065,20260627,76,3,3,666.52,success,0.61
T2026062700066,20260627,792,2,3,269.71,success,1.54
T2026062700067,20260627,108,4,4,515.95,failed,3.77
T2026062700068,20260627,916,3,2,12.07,success,4.76
T2026062700069,20260627,18,2,3,403.0,success,0.96
T2026062700070,20260627,186,3,1,646.16,success,4.36
T2026062700071,20260627,511,4,3,728.87,success,2.78
T2026062700072,20260627,690,4,1,105.21,success,4.98
T2026062700073,20260627,31,4,1,891.95,success,0.84
T2026062700074,20260627,318,4,4,779.76,success,4.41
T2026062700075,20260627,119,3,2,10.62,success,2.78
T2026062700076,20260627,410,3,3,56.07,success,4.72
T2026062700077,20260627,176,2,4,610.02,success,2.8
T2026062700078,20260627,420,3,1,699.21,success,0.71
T2026062700079,20260627,919,1,1,269.74,success,1.16
T2026062700080,20260627,994,4,1,421.55,success,0.86
T2026062700081,20260627,103,3,4,350.02,success,2.64
T2026062700082,20260627,93,4,3,516.34,success,1.74
T2026062700083,20260627,219,3,2,485.4,success,0.87
T2026062700084,20260627,440,1,3,29.29,success,3.02
T2026062700085,20260627,648,4,3,741.79,success,3.4
T2026062700086,20260627,973,2,1,10.72,success,4.47
T2026062700087,20260627,929,4,1,949.05,failed,1.14
T2026062700088,20260627,234,3,3,148.94,success,1.22
T2026062700089,20260627,596,1,3,515.72,success,4.59
T2026062700090,20260627,239,1,2,944.13,success,4.52
T2026062700091,20260627,351,4,3,899.26,failed,4.72
T2026062700092,20260627,408,2,4,433.8,success,1.24
T2026062700093,20260627,617,2,1,579.31,success,4.78
T2026062700094,20260627,780,2,2,590.79,success,1.42
T2026062700095,20260627,750,2,4,345.12,success,2.07
T2026062700096,20260627,284,3,3,359.6,success,2.4
T2026062700097,20260627,180,4,4,498.12,success,1.81
