transaction_id,date_key,customer_key,channel_key,city_key,amount,status,processing_time
T2026030700000,20260307,454,4,2,634.12,success,4.17
T2026030700001,20260307,954,4,1,319.1,success,4.53
T2026030700002,20260307,34,2,2,381.97,failed,4.85
T2026030700003,20260307,628,4,4,578.69,success,2.99
T2026030700004,20260307,432,1,4,444.64,success,0.92
T2026030700005,20260307,786,4,2,227.93,success,0.72
T2026030700006,20260307,981,2,4,253.31,success,3.41
T2026030700007,20260307,347,2,4,811.17,success,3.9
T2026030700008,20260307,688,3,1,617.79,success,2.07
T2026030700009,20260307,266,4,3,953.33,success,2.8
T2026030700010,20260307,161,3,2,576.87,success,2.84
T2026030700011,20260307,611,3,2,714.3,success,2.24
T2026030700012,20260307,502,4,2,771.87,success,3.31
T2026030700013,20260307,209,1,2,172.97,success,3.62
T2026030700014,20260307,307,4,2,677.84,success,3.49
T2026030700015,20260307,575,1,1,885.29,success,4.11
T2026030700016,20260307,111,4,3,926.22,success,2.05
T2026030700017,20260307,602,1,3,406.2,success,0.96
T2026030700018,20260307,768,1,1,714.99,success,1.0
T2026030700019,20260307,919,4,1,837.58,success,1.28
T2026030700020,20260307,448,4,4,410.52,success,1.24
T2026030700021,20260307,138,4,4,945.98,success,0.88
T2026030700022,20260307,402,1,1,329.37,failed,3.47
T2026030700023,20260307,422,1,2,246.17,success,1.41
T2026030700024,20260307,649,3,3,480.55,success,1.13
T2026030700025,20260307,242,3,2,487.66,success,2.55
T2026030700026,20260307,142,1,1,293.24,success,2.68
T2026030700027,20260307,963,4,4,800.21,success,3.42
T2026030700028,20260307,266,2,3,161.77,success,4.63
T2026030700029,20260307,152,3,1,750.55,success,1.93
T2026030700030,20260307,733,2,4,300.46,success,4.42
T2026030700031,20260307,387,1,3,99.85,success,1.53
T2026030700032,20260307,153,4,4,649.43,success,2.77
T2026030700033,20260307,882,2,3,119.19,success,1.21
T2026030700034,20260307,107,1,1,424.73,success,4.93
T2026030700035,20260307,776,3,1,771.16,success,3.04
T2026030700036,20260307,648,1,3,363.25,success,1.9
T2026030700037,20260307,530,1,4,284.37,success,1.65
T2026030700038,20260307,296,4,1,848.04,success,0.74
T2026030700039,20260307,629,2,4,329.28,failed,2.82
T2026030700040,20260307,304,1,3,696.33,success,3.79
T2026030700041,20260307,357,1,2,400.28,success,4.76
T2026030700042,20260307,926,3,1,150.33,success,4.7
T2026030700043,20260307,121,2,3,35.69,failed,2.61
T2026030700044,20260307,128,1,2,907.52,success,3.64
T2026030700045,20260307,770,1,2,949.13,success,4.3
T2026030700046,20260307,205,1,1,552.2,success,4.1
