transaction_id,date_key,customer_key,channel_key,city_key,amount,status,processing_time
T2026071200000,20260712,958,3,3,474.51,success,4.63
T2026071200001,20260712,163,1,1,888.07,success,2.63
T2026071200002,20260712,882,2,3,785.54,success,0.88
T2026071200003,20260712,865,3,4,474.52,success,3.64
T2026071200004,20260712,598,4,1,924.07,success,2.72
T2026071200005,20260712,736,4,4,470.32,success,3.07
T2026071200006,20260712,311,4,1,793.01,success,2.15
T2026071200007,20260712,835,2,1,983.57,success,1.82
T2026071200008,20260712,694,1,3,330.48,success,2.63
T2026071200009,20260712,46,2,3,944.84,success,2.5
T2026071200010,20260712,503,1,1,861.09,success,2.22
T2026071200011,20260712,438,1,3,671.8,success,0.8
T2026071200012,20260712,342,4,3,727.79,success,0.89
T2026071200013,20260712,437,3,4,971.04,success,3.42
T2026071200014,20260712,362,3,4,829.92,success,2.79
T2026071200015,20260712,413,3,2,529.51,success,3.57
T2026071200016,20260712,596,3,3,94.92,success,3.72
T2026071200017,20260712,764,4,1,773.9,success,4.78
T2026071200018,20260712,102,4,1,937.53,success,3.77
T2026071200019,20260712,4,2,1,588.31,success,2.41
T2026071200020,20260712,921,4,3,565.16,success,4.21
T2026071200021,20260712,539,3,2,322.86,success,2.48
T2026071200022,20260712,405,2,2,763.06,success,0.79
T2026071200023,20260712,181,3,1,74.36,success,2.34
T2026071200024,20260712,579,1,2,702.34,success,2.34
T2026071200025,20260712,325,1,3,95.38,success,3.88
T2026071200026,20260712,236,2,3,422.68,success,1.7
T2026071200027,20260712,977,3,2,889.41,failed,2.84
T2026071200028,20260712,518,1,2,780.63,success,4.94
T2026071200029,20260712,245,2,1,709.1,success,1.84
T2026071200030,20260712,512,4,2,341.39,success,4.91
T2026071200031,20260712,362,4,4,759.77,success,4.37
T2026071200032,20260712,160,3,1,351.65,success,1.68
T2026071200033,20260712,336,3,3,746.52,failed,2.22
T2026071200034,20260712,529,1,3,659.06,success,1.3
T2026071200035,20260712,365,4,4,948.96,success,1.3
T2026071200036,20260712,540,1,3,63.04,success,0.64
T2026071200037,20260712,108,2,4,848.23,success,2.6
T2026071200038,20260712,63,4,2,102.57,success,3.95
T2026071200039,20260712,781,4,1,237.0,success,4.24
