transaction_id,date_key,customer_key,channel_key,city_key,amount,status,processing_time
T2026061400000,20260614,360,3,1,272.76,success,2.92
T2026061400001,20260614,124,1,3,791.8,success,4.34
T2026061400002,20260614,677,3,1,79.54,success,0.52
T2026061400003,20260614,303,1,3,694.58,failed,0.66
T2026061400004,20260614,685,2,2,595.7,success,2.63
T2026061400005,20260614,720,3,2,170.0,success,2.97
T2026061400006,20260614,613,3,1,542.32,failed,1.51
T2026061400007,20260614,888,2,4,219.92,success,1.7
T2026061400008,20260614,528,4,2,117.19,success,2.05
T2026061400009,20260614,852,4,4,641.8,success,2.08
T2026061400010,20260614,655,3,3,573.83,success,1.97
T2026061400011,20260614,698,3,3,981.88,success,3.49
T2026061400012,20260614,980,4,4,130.18,success,3.42
T2026061400013,20260614,642,4,1,19.83,success,1.22
T2026061400014,20260614,773,1,1,283.48,success,0.97
T2026061400015,20260614,729,4,3,87.34,success,3.46
T2026061400016,20260614,535,2,2,137.41,success,1.69
T2026061400017,20260614,246,3,3,91.71,failed,2.93
T2026061400018,20260614,379,4,2,737.53,success,3.5
T2026061400019,20260614,23,3,2,35.89,success,3.24
T2026061400020,20260614,203,3,2,391.44,success,1.95
T2026061400021,20260614,283,3,4,739.63,success,2.35
T2026061400022,20260614,842,4,3,539.16,success,4.3
T2026061400023,20260614,593,4,3,523.26,failed,1.46
T2026061400024,20260614,66,1,2,362.89,success,2.87
T2026061400025,20260614,365,1,4,617.11,failed,2.81
T2026061400026,20260614,168,3,2,684.2,success,2.08
T2026061400027,20260614,635,3,1,370.77,success,3.16
T2026061400028,20260614,231,3,2,805.57,success,3.79
T2026061400029,20260614,443,2,4,192.19,success,0.5
T2026061400030,20260614,939,4,3,125.32,success,2.3
T2026061400031,20260614,646,2,1,642.5,success,4.86
T2026061400032,20260614,812,3,3,833.51,success,2.66
T2026061400033,20260614,839,4,4,705.47,success,0.88
T2026061400034,20260614,682,1,2,611.64,success,0.98
