transaction_id,date_key,customer_key,channel_key,amount,status,processing_time
T2026021700000,20260217,756,3,413.28,success,1.6
T2026021700001,20260217,758,2,607.23,success,4.98
T2026021700002,20260217,883,3,288.93,success,3.35
T2026021700003,20260217,329,1,391.43,success,1.35
T2026021700004,20260217,949,3,550.91,success,0.86
T2026021700005,20260217,491,4,187.43,success,3.89
T2026021700006,20260217,147,4,89.76,failed,4.84
T2026021700007,20260217,214,1,989.09,success,2.85
T2026021700008,20260217,96,2,243.46,success,2.3
T2026021700009,20260217,177,1,664.78,success,2.82
T2026021700010,20260217,107,4,710.38,success,3.4
T2026021700011,20260217,900,4,756.04,success,1.13
T2026021700012,20260217,144,1,777.39,success,2.07
T2026021700013,20260217,643,2,836.13,success,3.33
T2026021700014,20260217,668,2,73.44,success,2.15
T2026021700015,20260217,187,4,733.98,success,3.85
T2026021700016,20260217,762,2,575.68,success,2.29
T2026021700017,20260217,138,4,946.13,success,0.56
T2026021700018,20260217,889,1,431.4,success,1.11
T2026021700019,20260217,525,2,445.47,success,4.19
T2026021700020,20260217,440,2,509.27,success,2.14
T2026021700021,20260217,365,3,603.98,success,0.79
T2026021700022,20260217,631,4,509.31,success,0.59
T2026021700023,20260217,518,4,638.73,success,4.77
T2026021700024,20260217,908,4,590.38,success,4.52
T2026021700025,20260217,359,1,782.68,success,4.53
T2026021700026,20260217,970,1,743.76,success,1.49
T2026021700027,20260217,587,1,148.2,success,1.72
T2026021700028,20260217,550,2,386.45,success,1.59
T2026021700029,20260217,26,1,121.8,success,4.22
T2026021700030,20260217,434,3,136.67,success,1.0
T2026021700031,20260217,949,1,558.83,success,4.63
T2026021700032,20260217,168,1,955.52,success,0.69
T2026021700033,20260217,739,1,208.71,success,4.98
T2026021700034,20260217,377,2,313.77,success,3.32
T2026021700035,20260217,496,1,598.76,success,2.71
T2026021700036,20260217,739,1,157.88,success,2.12
T2026021700037,20260217,776,3,704.87,success,1.42
T2026021700038,20260217,497,3,834.84,failed,0.66
T2026021700039,20260217,604,1,658.74,success,3.06
T2026021700040,20260217,552,3,260.46,success,1.84
T2026021700041,20260217,528,4,36.3,success,4.86
T2026021700042,20260217,245,3,257.67,success,4.28
T2026021700043,20260217,318,4,247.96,success,1.56
T2026021700044,20260217,518,1,530.3,success,3.46
T2026021700045,20260217,774,2,737.26,success,4.0
T2026021700046,20260217,618,4,622.38,success,3.08
T2026021700047,20260217,288,2,985.85,success,2.63
T2026021700048,20260217,962,2,277.42,success,3.66
T2026021700049,20260217,777,3,591.09,success,2.76
T2026021700050,20260217,431,1,182.32,failed,1.97
T2026021700051,20260217,139,4,205.81,success,4.53
T2026021700052,20260217,738,3,10.07,success,3.01
T2026021700053,20260217,348,1,204.48,success,1.85
T2026021700054,20260217,693,2,670.3,success,4.8
