transaction_id,date_key,customer_key,channel_key,amount,status,processing_time
T2026021600000,20260216,599,4,829.06,success,3.53
T2026021600001,20260216,536,3,516.95,success,2.2
T2026021600002,20260216,983,1,903.47,success,1.88
T2026021600003,20260216,266,1,180.61,success,3.21
T2026021600004,20260216,228,4,534.13,success,3.26
T2026021600005,20260216,809,2,822.34,success,0.96
T2026021600006,20260216,120,4,211.47,success,3.91
T2026021600007,20260216,825,2,108.61,success,0.79
T2026021600008,20260216,443,3,292.84,success,3.26
T2026021600009,20260216,528,4,817.46,success,1.72
T2026021600010,20260216,816,1,987.63,success,1.96
T2026021600011,20260216,796,1,642.68,success,1.61
T2026021600012,20260216,955,3,844.05,success,1.67
T2026021600013,20260216,310,4,859.28,success,4.44
T2026021600014,20260216,461,1,621.56,success,0.75
T2026021600015,20260216,14,2,239.62,success,3.66
T2026021600016,20260216,742,4,669.62,success,2.4
T2026021600017,20260216,357,3,56.65,success,0.64
T2026021600018,20260216,824,4,722.1,success,1.8
T2026021600019,20260216,530,3,440.85,success,0.87
T2026021600020,20260216,857,4,881.88,success,4.48
T2026021600021,20260216,652,3,975.7,success,3.32
T2026021600022,20260216,117,1,984.22,success,3.16
T2026021600023,20260216,944,2,652.13,success,1.51
T2026021600024,20260216,936,3,314.98,success,0.8
T2026021600025,20260216,395,3,746.93,success,4.69
T2026021600026,20260216,612,2,899.62,success,3.24
T2026021600027,20260216,545,4,183.13,failed,4.05
T2026021600028,20260216,410,3,108.92,success,3.2
T2026021600029,20260216,384,2,551.21,success,1.78
T2026021600030,20260216,628,2,152.08,success,2.81
T2026021600031,20260216,124,1,688.03,success,3.27
T2026021600032,20260216,450,4,201.73,success,0.86
T2026021600033,20260216,551,3,551.31,success,1.8
T2026021600034,20260216,629,2,767.27,success,3.75
T2026021600035,20260216,701,2,719.78,success,3.74
T2026021600036,20260216,554,4,980.3,success,0.84
T2026021600037,20260216,58,1,101.76,success,2.09
T2026021600038,20260216,33,2,194.21,success,1.04
T2026021600039,20260216,946,4,261.97,success,2.63
T2026021600040,20260216,180,2,883.88,success,2.79
T2026021600041,20260216,561,1,250.92,success,3.89
T2026021600042,20260216,524,2,447.32,success,3.35
T2026021600043,20260216,125,2,318.1,success,1.86
T2026021600044,20260216,456,2,795.55,success,4.53
T2026021600045,20260216,765,2,505.6,success,3.28
T2026021600046,20260216,970,4,471.49,failed,3.91
T2026021600047,20260216,425,2,411.64,success,1.9
T2026021600048,20260216,22,2,666.98,failed,3.78
T2026021600049,20260216,138,1,385.6,success,2.77
T2026021600050,20260216,135,2,505.67,success,4.67
T2026021600051,20260216,174,3,403.88,success,3.89
T2026021600052,20260216,738,2,552.96,success,4.9
T2026021600053,20260216,423,3,314.5,success,0.95
T2026021600054,20260216,47,3,813.55,success,4.48
T2026021600055,20260216,927,3,426.85,success,3.99
T2026021600056,20260216,533,2,335.37,success,3.72
T2026021600057,20260216,778,2,452.61,success,1.09
T2026021600058,20260216,213,3,490.54,success,4.74
T2026021600059,20260216,332,3,818.61,success,2.05
T2026021600060,20260216,841,4,911.29,success,3.74
T2026021600061,20260216,262,3,398.07,success,2.25
T2026021600062,20260216,813,4,972.96,success,3.89
T2026021600063,20260216,977,1,337.2,success,1.66
T2026021600064,20260216,774,3,300.12,success,0.92
T2026021600065,20260216,951,1,852.19,success,1.91
T2026021600066,20260216,442,1,471.44,success,1.76
T2026021600067,20260216,909,1,995.7,success,3.46
T2026021600068,20260216,722,1,34.3,success,0.7
T2026021600069,20260216,421,1,42.27,success,1.92
T2026021600070,20260216,755,3,482.72,failed,3.93
T2026021600071,20260216,868,4,478.8,success,4.42
T2026021600072,20260216,803,3,976.28,success,0.58
T2026021600073,20260216,703,2,82.42,failed,0.92
T2026021600074,20260216,659,2,441.2,success,1.57
T2026021600075,20260216,165,3,683.01,success,4.55
T2026021600076,20260216,820,1,283.56,success,2.4
T2026021600077,20260216,645,4,940.33,success,1.04
T2026021600078,20260216,550,2,919.27,failed,1.21
T2026021600079,20260216,236,1,928.49,success,0.69
T2026021600080,20260216,654,4,381.49,success,4.99
T2026021600081,20260216,676,3,644.78,success,3.62
T2026021600082,20260216,599,1,149.31,success,2.22
T2026021600083,20260216,541,3,276.51,failed,3.82
T2026021600084,20260216,312,3,459.13,success,3.34
T2026021600085,20260216,448,1,591.2,success,2.3
T2026021600086,20260216,418,4,639.88,success,1.82
T2026021600087,20260216,738,2,701.35,success,4.69
T2026021600088,20260216,313,4,429.52,success,2.28
T2026021600089,20260216,186,2,92.86,success,4.42
T2026021600090,20260216,195,3,43.89,success,2.31
T2026021600091,20260216,351,3,115.62,success,2.78
T2026021600092,20260216,325,3,237.47,success,3.47
T2026021600093,20260216,367,1,379.51,success,3.2
T2026021600094,20260216,552,3,799.4,success,1.03
T2026021600095,20260216,958,3,561.98,success,0.78
