transaction_id,date_key,customer_key,channel_key,amount,status,processing_time
T2026021500000,20260215,312,2,991.44,success,1.86
T2026021500001,20260215,706,3,405.77,success,1.35
T2026021500002,20260215,984,2,556.62,success,3.12
T2026021500003,20260215,411,1,459.48,failed,1.85
T2026021500004,20260215,54,1,969.15,success,0.59
T2026021500005,20260215,177,3,794.94,success,3.98
T2026021500006,20260215,796,1,82.67,failed,3.17
T2026021500007,20260215,104,1,261.84,success,4.6
T2026021500008,20260215,424,4,209.78,success,1.04
T2026021500009,20260215,460,1,244.1,success,1.81
T2026021500010,20260215,489,3,961.73,success,3.99
T2026021500011,20260215,492,2,374.35,success,1.2
T2026021500012,20260215,809,2,506.18,success,2.28
T2026021500013,20260215,914,3,586.06,success,2.83
T2026021500014,20260215,231,3,107.77,success,2.03
T2026021500015,20260215,632,3,768.05,success,0.81
T2026021500016,20260215,212,1,21.74,success,2.41
T2026021500017,20260215,29,4,521.49,success,1.77
T2026021500018,20260215,373,4,867.25,success,3.5
T2026021500019,20260215,141,3,160.0,success,1.97
T2026021500020,20260215,986,2,560.74,success,3.73
T2026021500021,20260215,258,4,17.14,failed,4.17
T2026021500022,20260215,752,1,481.66,success,4.46
T2026021500023,20260215,680,2,728.39,success,2.97
T2026021500024,20260215,532,4,63.42,success,2.6
T2026021500025,20260215,161,1,832.95,success,2.57
T2026021500026,20260215,262,3,562.09,success,1.71
T2026021500027,20260215,927,2,509.96,success,1.14
T2026021500028,20260215,614,1,440.85,success,4.34
T2026021500029,20260215,796,4,220.59,success,2.22
T2026021500030,20260215,208,1,669.77,success,1.66
T2026021500031,20260215,745,3,98.9,failed,4.87
T2026021500032,20260215,338,3,386.95,success,4.14
T2026021500033,20260215,139,3,920.82,success,4.43
T2026021500034,20260215,799,1,207.46,success,4.07
T2026021500035,20260215,797,3,626.07,success,3.75
T2026021500036,20260215,420,1,884.41,success,2.36
T2026021500037,20260215,891,2,73.61,success,3.25
T2026021500038,20260215,103,3,484.51,success,1.9
T2026021500039,20260215,716,4,12.54,success,0.85
T2026021500040,20260215,354,2,382.95,success,3.52
T2026021500041,20260215,699,3,112.89,success,3.85
T2026021500042,20260215,403,3,503.76,success,2.61
T2026021500043,20260215,271,3,983.16,success,3.95
T2026021500044,20260215,639,4,146.93,success,2.31
T2026021500045,20260215,237,1,505.53,success,3.1
T2026021500046,20260215,300,2,652.87,success,4.94
T2026021500047,20260215,345,1,117.63,failed,2.6
T2026021500048,20260215,555,3,821.98,success,4.92
T2026021500049,20260215,67,1,709.4,success,1.49
T2026021500050,20260215,619,2,169.83,success,2.06
T2026021500051,20260215,819,1,924.38,success,2.67
T2026021500052,20260215,602,4,902.69,success,3.27
T2026021500053,20260215,458,3,429.3,success,2.93
T2026021500054,20260215,706,2,848.16,success,0.94
T2026021500055,20260215,728,3,637.2,success,3.14
T2026021500056,20260215,774,1,993.11,success,3.36
T2026021500057,20260215,608,1,495.43,success,1.56
T2026021500058,20260215,266,3,127.27,success,2.06
T2026021500059,20260215,597,1,494.2,success,1.66
T2026021500060,20260215,382,3,32.26,success,3.43
T2026021500061,20260215,8,3,59.05,success,1.91
T2026021500062,20260215,647,3,42.94,success,3.6
T2026021500063,20260215,890,3,55.33,failed,2.52
T2026021500064,20260215,949,2,897.43,success,2.33
T2026021500065,20260215,462,3,257.74,success,0.72
T2026021500066,20260215,672,4,288.97,success,2.8
T2026021500067,20260215,711,4,573.85,failed,3.22
T2026021500068,20260215,935,4,963.67,success,1.37
T2026021500069,20260215,203,1,886.52,success,0.64
T2026021500070,20260215,224,1,364.66,success,4.79
T2026021500071,20260215,160,3,139.12,success,3.51
T2026021500072,20260215,377,1,453.91,success,0.56
T2026021500073,20260215,257,1,903.28,success,2.76
T2026021500074,20260215,34,1,497.97,success,2.68
T2026021500075,20260215,966,3,779.7,success,4.93
T2026021500076,20260215,688,3,38.32,success,3.96
T2026021500077,20260215,433,2,110.68,success,4.77
T2026021500078,20260215,116,2,607.47,success,4.05
T2026021500079,20260215,337,2,627.65,success,0.82
T2026021500080,20260215,783,2,826.76,success,1.11
